manufacturer,product type,flash memory installed,diagonal size,battery,supported digital audio standards,estimated battery life
81,2,8.0,4.0,15,136,36.0
81,2,8.0,5.0,21,136,60.0
5,4,8.0,3.5,64,16,40.0
5,4,32.0,3.5,64,16,40.0
5,4,64.0,3.5,64,16,40.0
69,9,0.0,0.0,79,144,15.0
69,9,0.0,0.0,79,144,15.0
82,2,8.0,2.4,117,81,24.0
82,2,16.0,2.4,117,81,24.0
82,2,8.0,2.4,117,81,24.0
82,2,8.0,2.4,117,81,24.0
82,2,8.0,2.4,117,81,24.0
82,2,4.0,2.4,117,81,24.0
82,2,4.0,2.4,117,81,24.0
82,2,4.0,2.4,117,81,24.0
5,2,8.0,1.54,64,16,24.0
5,4,2.0,0.0,64,38,15.0
5,2,16.0,1.54,64,16,24.0
5,4,2.0,0.0,64,38,15.0
5,2,8.0,1.54,64,16,24.0
5,2,8.0,1.54,64,16,24.0
5,2,8.0,1.54,64,16,24.0
5,2,16.0,1.54,64,16,24.0
5,2,8.0,1.54,64,16,24.0
5,4,2.0,0.0,64,38,15.0
5,2,8.0,1.54,64,16,24.0
5,4,2.0,0.0,64,38,15.0
5,2,16.0,1.54,64,16,24.0
5,4,2.0,0.0,64,38,15.0
5,2,16.0,1.54,64,16,24.0
5,2,8.0,1.54,64,16,24.0
5,2,16.0,1.54,64,16,24.0
5,2,16.0,1.54,64,16,24.0
100,9,0.0,0.0,79,144,0.0
42,9,0.0,0.0,79,144,0.0
42,9,0.0,0.0,79,144,0.0
88,4,0.0,0.0,64,74,11.0
84,10,0.0,0.0,79,86,0.0
43,2,4.0,1.8,72,66,0.0
43,2,8.0,1.8,72,66,0.0
67,2,32.0,3.3,64,186,33.0
67,2,16.0,3.3,64,186,33.0
67,2,64.0,3.3,64,186,33.0
5,2,8.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,8.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,2,16.0,2.2,64,14,24.0
5,4,8.0,3.5,64,14,30.0
5,4,64.0,3.5,64,14,30.0
5,4,32.0,3.5,64,14,30.0
5,4,0.0,2.5,64,13,36.0
5,4,0.0,2.5,64,14,36.0
88,2,16.0,2.4,64,88,42.0
88,2,8.0,2.4,64,88,42.0
88,2,8.0,2.4,64,27,42.0
88,2,8.0,2.4,64,88,42.0
88,2,8.0,2.4,64,88,42.0
88,2,16.0,2.4,64,88,42.0
82,2,4.0,1.0,119,80,15.0
82,2,4.0,1.0,119,80,15.0
82,2,2.0,1.0,119,80,15.0
82,2,8.0,1.0,119,80,15.0
82,2,4.0,1.0,119,80,15.0
73,2,8.0,1.5,75,86,4.0
73,2,2.0,1.5,75,86,25.0
73,2,4.0,1.5,75,86,0.0
