manufacturer,product type,flash memory installed,diagonal size,battery,supported digital audio standards,estimated battery life
Apple,"Digital player / radio,","16 GB Integrated,","1.54 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","1.54 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","1.54 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","1.54 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Uebo,,,,,,
HP,,,,,,
HP,,,,,,
Sony,"Digital player,","1.68 GB Integrated,",,"Lithium ion Rechargeable Player batteryIntegrated,","MP3,,Protected WMA (DRM),,WMA,,AAC,,AAC-LC,,PCM,","11 hour(s),"
Satechi,"Speakers,","microSD,",,,"MP3,,WMA,",
"Haier America Trading, L.L.C.","Digital player / radio,","4 GB,","1.8 in,","Lithium polymer Player battery,","MP3,,OGG,,WMA,",
"Haier America Trading, L.L.C.","Digital player / radio,","8 GB,","1.8 in,","Lithium polymer Player battery,","MP3,,OGG,,WMA,",
Microsoft,"Digital player / radio,","32 GB Integrated,","3.3 in,","Lithium ion Rechargeable Player batteryIntegrated,","WMAPro,,MP3,,WMA,,AAC,","33 hour(s),"
Microsoft,"Digital player / radio,","16 GB Integrated,","3.3 in,","Lithium ion Rechargeable Player batteryIntegrated,","WMAPro,,MP3,,WMA,,AAC,","33 hour(s),"
Microsoft,"Digital player / radio,","64 GB Integrated,","3.3 in,","Lithium ion Rechargeable Player batteryIntegrated,","WMAPro,,MP3,,WMA,,AAC,","33 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","8 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player / radio,","16 GB Integrated,","2.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","24 hour(s),"
Apple,"Digital player,","8 GB Integrated,","3.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","30 hour(s),"
Apple,"Digital player,","64 GB Integrated,","3.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","30 hour(s),"
Apple,"Digital player,","32 GB Integrated,","3.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","30 hour(s),"
Apple,"Digital player,",,"2.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","36 hour(s),"
Apple,"Digital player,",,"2.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","36 hour(s),"
Sony,"Digital player / radio,","16 GB Integrated,","2.4 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,LPCM,","42 hour(s),"
Sony,"Digital player / radio,","8 GB Integrated,","2.4 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,LPCM,","42 hour(s),"
Sony,"Digital player / radio,","8 GB Integrated,","2.4 in,","Lithium ion Rechargeable Player batteryIntegrated,","LPCM,,MP3,,WMA,,AAC,","42 hour(s),"
Sony,"Digital player / radio,","8 GB Integrated,","2.4 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,LPCM,","42 hour(s),"
Sony,"Digital player / radio,","8 GB Integrated,","2.4 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,LPCM,","42 hour(s),"
